Microcontrollers & microprocessors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part Number,General Description,Marketing Status,Package,Core,Operating Frequency (MHz),FPU,Co-Processor type,Co-Processor frequency (MHz) max,Flash Size (kB) (Prog),Dual-bank Flash,Data E2PROM (B) nom,RAM Size (kB),CCM RAM (I/D) (kByte) typ,ITCM/DTCM RAM (kB),Timers (16-bit) typ,Timers (32-bit) typ,Other timer functions,A/D Converters 12-bit,,A/D Converters 14-bit,,A/D Converters 16-bit,,D/A Converters (12-bit) typ,Comparator,Integrated op-amps,I/Os (High Current),SMPS,Display controller,Graphic accelerator,CAN (FD),CAN (2.0),I2C typ,SPI typ,I2S typ,USART typ,UART typ,Ethernet,Ethernet ports typ,I3C typ,Additional Interfaces,External Memory Interfaces,USB Type,Cryptography,Security Functions,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (@ Lowest Power) typ,Supply Current (µA) (Run Mode (per MHz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,Output Power (dBm) min,Output Power (dBm) max,RX current (mA) typ,RX sensitivity (dBm) typ,Standby Current (µA) typ,TX current (mA) (@ 0dBm) max,Output Power (dBm) (Step) typ,Buy On Line,Number of Cores nom,,,,,,
STM32F301R6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,15,-,-,-,-,1,3,1,51,-,-,-,-,-,-,3,2,2,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F301R8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,15,-,-,-,-,1,3,1,51,-,-,-,-,-,-,3,2,2,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302C6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,11,-,-,-,-,1,3,1,37,-,-,-,-,-,1,3,2,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302C8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,"LQFP 48 7x7x1.4 mm, WLCSP 49 3.5x3.2x0.6 P 0.4 mm",Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,11,-,-,-,-,1,3,1,37,-,-,-,-,-,1,3,2,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.4,353,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302CB,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 128 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,128,No,-,32,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,9,-,-,-,-,1,4,2,37,-,-,-,-,-,1,2,3,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302CC,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 256 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,256,No,-,40,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,9,-,-,-,-,1,4,2,37,-,-,-,-,-,1,2,3,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302K6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,8,-,-,-,-,1,2,1,24,-,-,-,-,-,1,3,2,2,2,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302K8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,8,-,-,-,-,1,2,1,24,-,-,-,-,-,1,3,2,2,2,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.4,349,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302R6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,15,-,-,-,-,1,3,1,51,-,-,-,-,-,1,3,2,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302R8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,15,-,-,-,-,1,3,1,51,-,-,-,-,-,1,3,2,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.4,353,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302RB,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 128 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,128,No,-,32,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,4,2,52,-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302RC,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 256 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,256,No,-,40,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,4,2,52,-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302RD,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 384 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,384,No,-,64,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,4,2,51,-,-,-,-,-,1,3,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302RE,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 512 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,512,No,-,64,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,4,2,51,-,-,-,-,-,1,3,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302VB,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU,128 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M4,72,-,-,-,-,128,No,-,32,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,17,-,-,-,-,1,4,2,87,-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302VC,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 256 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,"LQFP 100 14x14x1.4 mm, WLCSP 100 4.2x4.7x0.6 P 0.4 mm",Arm Cortex-M4,72,-,-,-,-,256,No,-,40,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,"16, 17",-,-,-,-,1,4,2,"78, 87",-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302VD,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 384 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M4,72,-,-,-,-,384,No,-,64,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,17,-,-,-,-,1,4,2,86,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302VE,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 512 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M4,72,-,-,-,-,512,No,-,64,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,17,-,-,-,-,1,4,2,86,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32F302ZD,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 384 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 144 20x20x1.4 mm,Arm Cortex-M4,72,-,-,-,-,384,No,-,64,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,18,-,-,-,-,1,4,2,115,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F302ZE,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 512 Kbytes of Flash memory, 72 MHz CPU, MPU, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 144 20x20x1.4 mm,Arm Cortex-M4,72,-,-,-,-,512,No,-,64,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,18,-,-,-,-,1,4,2,115,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303C6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 32 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,15,-,-,-,-,3,3,1,37,-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303C8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,"LQFP 48 7x7x1.4 mm, WLCSP 49 3.9x3.8x0.6 P 0.5 mm",Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,"15, 18",-,-,-,-,3,3,1,"37, 38",-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303CB,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 128 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,128,No,-,40,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,15,-,-,-,-,2,7,4,37,-,-,-,-,-,1,2,3,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303CC,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 256 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,256,No,-,48,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,15,-,-,-,-,2,7,4,37,-,-,-,-,-,1,2,3,2,3,-,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303K6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 32 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,LQFP 32 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,3,2,1,25,-,-,-,-,-,1,1,1,-,2,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303K8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,LQFP 32 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,9,-,-,-,-,3,2,1,25,-,-,-,-,-,1,1,1,-,2,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303R6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 32 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,21,-,-,-,-,3,3,1,51,-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303R8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,21,-,-,-,-,3,3,1,51,-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1.4,353,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303RB,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 128 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,128,No,-,40,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,22,-,-,-,-,2,7,4,52,-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303RC,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 256 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,256,No,-,48,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,22,-,-,-,-,2,7,4,52,-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303RD,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 384 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,384,No,-,80,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,22,-,-,-,-,2,7,4,51,-,-,-,-,-,1,3,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303RE,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 512 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M4,72,-,-,-,-,512,No,-,80,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,22,-,-,-,-,2,7,4,51,-,-,-,-,-,1,3,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,2,450,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303VB,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 128 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M4,72,-,-,-,-,128,No,-,40,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,39,-,-,-,-,2,7,4,87,-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303VC,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 256 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,"LQFP 100 14x14x1.4 mm, WLCSP 100 4.2x4.7x0.6 P 0.4 mm",Arm Cortex-M4,72,-,-,-,-,256,No,-,48,-,-,9,1,"Dual Watchdog, RTC, SysTick",4,"32, 39",-,-,-,-,2,7,4,"78, 87",-,-,-,-,-,1,2,3,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303VD,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 384 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M4,72,-,-,-,-,384,No,-,80,-,-,10,1,"Dual Watchdog, RTC, SysTick",4,39,-,-,-,-,2,7,4,86,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303VE,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 512 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm, WLCSP 100 4.8x5.1x0.6 P 0.4 mm",Arm Cortex-M4,72,-,-,-,-,512,No,-,80,-,-,10,1,"Dual Watchdog, RTC, SysTick",4,"33, 39",-,-,-,-,2,7,4,"78, 86",-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,FMC,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F303ZD,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 384 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 144 20x20x1.4 mm,Arm Cortex-M4,72,-,-,-,-,384,No,-,80,-,-,10,1,"Dual Watchdog, RTC, SysTick",4,40,-,-,-,-,2,7,4,115,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F303ZE,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 512 Kbytes of Flash memory, 72 MHz CPU, MPU, CCM, 12-bit ADC 5 MSPS, PGA, comparators",Active,LQFP 144 20x20x1.4 mm,Arm Cortex-M4,72,-,-,-,-,512,No,-,80,-,-,10,1,"Dual Watchdog, RTC, SysTick",4,40,-,-,-,-,2,7,4,115,-,-,-,-,-,1,3,4,2,3,2,-,-,-,-,-,No,USB Device,-,-,2,3.6,1.5,392,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F318C8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,"LQFP 48 7x7x1.4 mm, WLCSP 49 3.5x3.2x0.6 P 0.4 mm",Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,11,-,-,-,-,1,3,1,36,-,-,-,-,-,-,3,2,2,3,-,-,-,-,-,-,No,-,-,-,1.65,1.95,4.2,350,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32F318K8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, 12-bit ADC 5 MSPS, Comparator, Op-Amp",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,8,-,-,-,-,1,2,1,23,-,-,-,-,-,-,3,2,2,2,-,-,-,-,-,-,No,-,-,-,1.65,1.95,4.2,350,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F328C8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,14,-,-,-,-,3,3,1,36,-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,1.65,1.95,6.8,420,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32F334C4,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 16 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp, hr timer",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,16,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,15,-,-,-,-,3,3,1,37,-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1,420,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F334C6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 32 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp, hr timer",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,7,1,"Dual Watchdog, HR timer, RTC, SysTick",2,15,-,-,-,-,3,3,1,37,-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1,420,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F334C8,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 64 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp, hr timer",Active,"LQFP 48 7x7x1.4 mm, WLCSP 49 3.9x3.8x0.6 P 0.5 mm",Arm Cortex-M4,72,-,-,-,-,64,No,-,16,-,-,7,1,"Dual Watchdog, HR timer, RTC, SysTick",2,"15, 18",-,-,-,-,3,3,1,"37, 38",-,-,-,-,-,1,1,1,-,3,-,-,-,-,-,-,No,-,-,-,2,3.6,1,420,-40,105,-,-,-,-,-,-,-,No,-,-,-,-
STM32F334K4,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 16 Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp, hr timer",Active,LQFP 32 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,16,No,-,16,-,-,7,1,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,3,2,1,25,-,-,-,-,-,1,1,1,-,2,-,-,-,-,-,-,No,-,-,-,2,3.6,1,420,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32F334K6,"Mainstream Mixed signals MCUs Arm Cortex-M4 core with DSP and FPU, 32-Kbytes of Flash memory, 72 MHz CPU, CCM, 12-bit ADC 5 MSPS, comparators, op-amp, hr timer",Active,LQFP 32 7x7x1.4 mm,Arm Cortex-M4,72,-,-,-,-,32,No,-,16,-,-,7,1,"Dual Watchdog, HR timer, RTC, SysTick",2,10,-,-,-,-,3,2,1,25,-,-,-,-,-,1,1,1,-,2,-,-,-,-,-,-,No,-,-,-,2,3.6,1,420,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
